Date,Match,Result,Score,Competition
09 Sep 1998,Chelsea v Arsenal,D,0-0,Premier League
11 Nov 1998,Arsenal v Chelsea,W,0-5,League Cup
31 Jan 1999,Arsenal v Chelsea,L,1-0,Premier League
23 Oct 1999,Chelsea v Arsenal,L,2-3,Premier League
06 May 2000,Arsenal v Chelsea,L,2-1,Premier League
06 Sep 2000,Chelsea v Arsenal,D,2-2,Premier League
13 Jan 2001,Arsenal v Chelsea,D,1-1,Premier League
18 Feb 2001,Arsenal v Chelsea,L,3-1,FA Cup
08 Sep 2001,Chelsea v Arsenal,D,1-1,Premier League
26 Dec 2001,Arsenal v Chelsea,L,2-1,Premier League
04 May 2002,Arsenal v Chelsea,L,2-0,FA Cup
01 Sep 2002,Chelsea v Arsenal,D,1-1,Premier League
01 Jan 2003,Arsenal v Chelsea,L,3-2,Premier League
08 Mar 2003,Arsenal v Chelsea,D,2-2,FA Cup
25 Mar 2003,Chelsea v Arsenal,L,1-3,FA Cup
18 Oct 2003,Arsenal v Chelsea,L,2-1,Premier League
15 Feb 2004,Arsenal v Chelsea,L,2-1,FA Cup
21 Feb 2004,Chelsea v Arsenal,L,1-2,Premier League
24 Mar 2004,Chelsea v Arsenal,D,1-1,UEFA Champions League
06 Apr 2004,Arsenal v Chelsea,W,1-2,UEFA Champions League
12 Dec 2004,Arsenal v Chelsea,D,2-2,Premier League
20 Apr 2005,Chelsea v Arsenal,D,0-0,Premier League
07 Aug 2005,Arsenal v Chelsea,W,1-2,FA Community Shield
21 Aug 2005,Chelsea v Arsenal,W,1-0,Premier League
18 Dec 2005,Arsenal v Chelsea,W,0-2,Premier League
10 Dec 2006,Chelsea v Arsenal,D,1-1,Premier League
25 Feb 2007,Arsenal v Chelsea,W,1-2,League Cup
06 May 2007,Arsenal v Chelsea,D,1-1,Premier League
16 Dec 2007,Arsenal v Chelsea,L,1-0,Premier League
23 Mar 2008,Chelsea v Arsenal,W,2-1,Premier League
30 Nov 2008,Chelsea v Arsenal,L,1-2,Premier League
18 Apr 2009,Arsenal v Chelsea,W,1-2,FA Cup
10 May 2009,Arsenal v Chelsea,W,1-4,Premier League
29 Nov 2009,Arsenal v Chelsea,W,0-3,Premier League
07 Feb 2010,Chelsea v Arsenal,W,2-0,Premier League
03 Oct 2010,Chelsea v Arsenal,W,2-0,Premier League
27 Dec 2010,Arsenal v Chelsea,L,3-1,Premier League
29 Oct 2011,Chelsea v Arsenal,L,3-5,Premier League
21 Apr 2012,Arsenal v Chelsea,D,0-0,Premier League
29 Sep 2012,Arsenal v Chelsea,W,1-2,Premier League
20 Jan 2013,Chelsea v Arsenal,W,2-1,Premier League
29 Oct 2013,Arsenal v Chelsea,W,0-2,League Cup
23 Dec 2013,Arsenal v Chelsea,D,0-0,Premier League
22 Mar 2014,Chelsea v Arsenal,W,6-0,Premier League
05 Oct 2014,Chelsea v Arsenal,W,2-0,Premier League
26 Apr 2015,Arsenal v Chelsea,D,0-0,Premier League
02 Aug 2015,Arsenal v Chelsea,L,1-0,FA Community Shield
19 Sep 2015,Chelsea v Arsenal,W,2-0,Premier League
24 Jan 2016,Arsenal v Chelsea,W,0-1,Premier League
24 Sep 2016,Arsenal v Chelsea,L,3-0,Premier League
04 Feb 2017,Chelsea v Arsenal,W,3-1,Premier League
27 May 2017,Arsenal v Chelsea,L,2-1,FA Cup
06 Aug 2017,Arsenal v Chelsea,L,1-1,FA Community Shield
17 Sep 2017,Chelsea v Arsenal,D,0-0,Premier League
03 Jan 2018,Arsenal v Chelsea,D,2-2,Premier League
10 Jan 2018,Chelsea v Arsenal,D,0-0,League Cup
24 Jan 2018,Arsenal v Chelsea,L,2-1,League Cup
18 Aug 2018,Chelsea v Arsenal,W,3-2,Premier League
19 Jan 2019,Arsenal v Chelsea,L,2-0,Premier League
29 May 2019,Chelsea v Arsenal,W,4-1,UEFA Europa League
29 Dec 2019,Arsenal v Chelsea,W,1-2,Premier League
21 Jan 2020,Chelsea v Arsenal,D,2-2,Premier League
01 Aug 2020,Arsenal v Chelsea,L,2-1,FA Cup
26 Dec 2020,Arsenal v Chelsea,L,3-1,Premier League
12 May 2021,Chelsea v Arsenal,L,0-1,Premier League
22 Aug 2021,Arsenal v Chelsea,W,0-2,Premier League
20 Apr 2022,Chelsea v Arsenal,L,2-4,Premier League
06 Nov 2022,Chelsea v Arsenal,L,0-1,Premier League
02 May 2023,Arsenal v Chelsea,L,3-1,Premier League
21 Oct 2023,Chelsea v Arsenal,D,2-2,Premier League
